Athlete,Discipline,NOC,Gender,Medal
HAJOS  Alfred,Swimming,HUN,Men,Gold
HERSCHMANN  Otto,Swimming,AUT,Men,Silver
DRIVAS  Dimitrios,Swimming,GRE,Men,Bronze
MALOKINIS  Ioannis,Swimming,GRE,Men,Gold
CHASAPIS  Spiridon,Swimming,GRE,Men,Silver
CHOROPHAS  Efstathios,Swimming,GRE,Men,Bronze
HAJOS  Alfred,Swimming,HUN,Men,Gold
ANDREOU  Joannis,Swimming,GRE,Men,Silver
CHOROPHAS  Efstathios,Swimming,GRE,Men,Bronze
NEUMANN  Paul,Swimming,AUT,Men,Gold
PEPANOS  Antonios,Swimming,GRE,Men,Silver
LANE  Francis,Athletics,USA,Men,Bronze
SZOKOLYI  Alajos,Athletics,HUN,Men,Bronze
BURKE  Thomas,Athletics,USA,Men,Gold
HOFMANN  Fritz,Athletics,GER,Men,Silver
CURTIS  Thomas,Athletics,USA,Men,Gold
GOULDING  Grantley,Athletics,GBR,Men,Silver
LERMUSIAUX  Albin,Athletics,FRA,Men,Bronze
FLACK  Edwin,Athletics,AUS,Men,Gold
BLAKE  Arthur,Athletics,USA,Men,Silver
GMELIN  Charles,Athletics,GBR,Men,Bronze
BURKE  Thomas,Athletics,USA,Men,Gold
JAMISON  Herbert,Athletics,USA,Men,Silver
GOLEMIS  Dimitrios,Athletics,GRE,Men,Bronze
FLACK  Edwin,Athletics,AUS,Men,Gold
DANI  Nandor,Athletics,HUN,Men,Silver
VERSIS  Sotirios,Athletics,GRE,Men,Bronze
GARRETT  Robert,Athletics,USA,Men,Gold
PARASKEVOPOULOS  Panagiotis,Athletics,GRE,Men,Silver
CLARK  Ellery,Athletics,USA,Men,Gold
CONNOLLY  James,Athletics,USA,Men,Silver
GARRETT  Robert,Athletics,USA,Men,Silver
CONNOLLY  James,Athletics,USA,Men,Bronze
CLARK  Ellery,Athletics,USA,Men,Gold
GARRETT  Robert,Athletics,USA,Men,Silver
KELLNER  Gyula,Athletics,HUN,Men,Bronze
LOUIS  Spyridon,Athletics,GRE,Men,Gold
VASILAKOS  Kharilaos,Athletics,GRE,Men,Silver
DAMASKOS  Evangelos,Athletics,GRE,Men,Bronze
THEODOROPOULOS  Ioannis,Athletics,GRE,Men,Bronze
HOYT  William Welles,Athletics,USA,Men,Gold
TYLER  Albert,Athletics,USA,Men,Silver
PAPASIDERIS  Georgios,Athletics,GRE,Men,Bronze
GARRETT  Robert,Athletics,USA,Men,Gold
GOUSKOS  Miltiadis,Athletics,GRE,Men,Silver
PERSAKIS  Ioannis,Athletics,GRE,Men,Bronze
CONNOLLY  James,Athletics,USA,Men,Gold
TUFFERI  Alexandre,Athletics,FRA,Men,Silver
BATTEL  Edward,Cycling Road,GBR,Men,Bronze
KONSTANTINIDIS  Aristidis,Cycling Road,GRE,Men,Gold
GOEDRICH  August,Cycling Road,GER,Men,Silver
FLAMENG  Léon,Cycling Track,FRA,Men,Gold
KOLETTIS  Georgios,Cycling Track,GRE,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
FLAMENG  Léon,Cycling Track,FRA,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Gold
KEEPING  Frank,Cycling Track,GBR,Men,Silver
SCHMAL  Adolf,Cycling Track,AUT,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
NIKOLOPOULOS  Stamatios,Cycling Track,GRE,Men,Silver
FLAMENG  Léon,Cycling Track,FRA,Men,Bronze
MASSON  Paul,Cycling Track,FRA,Men,Gold
NIKOLOPOULOS  Stamatios,Cycling Track,GRE,Men,Silver
PIERRAKOS-MAVROMICHALIS  Perikles,Fencing,GRE,Men,Bronze
GRAVELOTTE  Eugène-Henri,Fencing,FRA,Men,Gold
CALLOT  Henri,Fencing,FRA,Men,Silver
PYRGOS  Leonidas,Fencing,GRE,Men,Gold
PERRONNET  Maurice,Fencing,FRA,Men,Silver
NIELSEN  Holger,Fencing,DEN,Men,Bronze
GEORGIADIS  Ioannis,Fencing,GRE,Men,Gold
KARAKALOS  Telemachos,Fencing,GRE,Men,Silver
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Gold
FLATOW  Alfred,Artistic G.,GER,Men,Silver
FLATOW  Alfred,Artistic G.,GER,Men,Gold
ZUTTER  Louis,Artistic G.,SUI,Men,Silver
ZUTTER  Louis,Artistic G.,SUI,Men,Gold
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Silver
PERSAKIS  Petros,Artistic G.,GRE,Men,Bronze
MITROPOULOS  Ioannis,Artistic G.,GRE,Men,Gold
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Silver
HOFMANN  Fritz,Artistic G.,GER,Men,Bronze
ANDRIAKOPOULOS  Nicolaos,Artistic G.,GRE,Men,Gold
XENAKIS  Thomasios,Artistic G.,GRE,Men,Silver
BÖCKER  Konrad,Artistic G.,GER,Men,Gold
FLATOW  Alfred,Artistic G.,GER,Men,Gold
FLATOW  Gustav Felix,Artistic G.,GER,Men,Gold
HILMAR  Georg,Artistic G.,GER,Men,Gold
HOFMANN  Fritz,Artistic G.,GER,Men,Gold
MANTEUFFEL  Fritz,Artistic G.,GER,Men,Gold
NEUKIRCH  Karl,Artistic G.,GER,Men,Gold
RÖSTEL  Richard,Artistic G.,GER,Men,Gold
SCHUFT  Gustav,Artistic G.,GER,Men,Gold
SCHUMANN  Carl,Artistic G.,GER,Men,Gold
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Gold
CHRYSAPHIS  Ioannis,Artistic G.,GRE,Men,Bronze
KARVELAS  Phillippos,Artistic G.,GRE,Men,Bronze
LOUNDRAS  Dimitrios,Artistic G.,GRE,Men,Bronze
MITROPOULOS  Ioannis,Artistic G.,GRE,Men,Bronze
BÖCKER  Konrad,Artistic G.,GER,Men,Gold
FLATOW  Alfred,Artistic G.,GER,Men,Gold
FLATOW  Gustav Felix,Artistic G.,GER,Men,Gold
HILMAR  Georg,Artistic G.,GER,Men,Gold
HOFMANN  Fritz,Artistic G.,GER,Men,Gold
MANTEUFFEL  Fritz,Artistic G.,GER,Men,Gold
NEUKIRCH  Karl,Artistic G.,GER,Men,Gold
RÖSTEL  Richard,Artistic G.,GER,Men,Gold
SCHUFT  Gustav,Artistic G.,GER,Men,Gold
SCHUMANN  Carl,Artistic G.,GER,Men,Gold
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Gold
ANDRIAKOPOULOS  Nicolaos,Artistic G.,GRE,Men,Silver
ATHANASOPOULOS  Spyros,Artistic G.,GRE,Men,Silver
PERSAKIS  Petros,Artistic G.,GRE,Men,Silver
XENAKIS  Thomasios,Artistic G.,GRE,Men,Silver
WEINGÄRTNER  Hermann,Artistic G.,GER,Men,Bronze
SCHUMANN  Carl,Artistic G.,GER,Men,Gold
ZUTTER  Louis,Artistic G.,SUI,Men,Silver
MORAKIS  Nikolaos,Shooting,GRE,Men,Bronze
PAINE  John,Shooting,USA,Men,Gold
PAINE  Sumner,Shooting,USA,Men,Silver
NIELSEN  Holger,Shooting,DEN,Men,Bronze
PHRANGOUDIS  Joannis,Shooting,GRE,Men,Gold
ORPHANIDIS  Georgios,Shooting,GRE,Men,Silver
PHRANGOUDIS  Joannis,Shooting,GRE,Men,Bronze
PAINE  Sumner,Shooting,USA,Men,Gold
NIELSEN  Holger,Shooting,DEN,Men,Silver
TRIKUPIS  Nicolaos,Shooting,GRE,Men,Bronze
KARASEVDAS  Pantelis,Shooting,GRE,Men,Gold
PAVLIDIS  Pavlos,Shooting,GRE,Men,Silver
JENSEN  Viggo,Shooting,DEN,Men,Bronze
ORPHANIDIS  Georgios,Shooting,GRE,Men,Gold
PHRANGOUDIS  Joannis,Shooting,GRE,Men,Silver
FLACK  Edwin,Tennis,ZZX,Men,Bronze
ROBERTSON  George Stuart,Tennis,ZZX,Men,Bronze
BOLAND  John,Tennis,ZZX,Men,Gold
TRAUN  Friedrich,Tennis,ZZX,Men,Gold
KASDAGLIS  Dionysios,Tennis,ZZX,Men,Silver
PETROKOKKINOS  Demetrios,Tennis,ZZX,Men,Silver
PASPATIS  Konstantinos,Tennis,GRE,Men,Bronze
TAPAVICZA  Momcsillo,Tennis,HUN,Men,Bronze
BOLAND  John,Tennis,GBR,Men,Gold
KASDAGLIS  Dionysios,Tennis,GRE,Men,Silver
NIKOLOPOULOS  Alexandros,Weightlifting,GRE,Men,Bronze
ELLIOTT  Launceston,Weightlifting,GBR,Men,Gold
JENSEN  Viggo,Weightlifting,DEN,Men,Silver
VERSIS  Sotirios,Weightlifting,GRE,Men,Bronze
JENSEN  Viggo,Weightlifting,DEN,Men,Gold
ELLIOTT  Launceston,Weightlifting,GBR,Men,Silver
CHRISTOPOULOS  Stephanos,Wrestling Gre-R,GRE,Men,Bronze
SCHUMANN  Carl,Wrestling Gre-R,GER,Men,Gold
TSITAS  Georgios,Wrestling Gre-R,GRE,Men,Silver
HALMAY  Zoltan,Swimming,HUN,Men,Bronze
JARVIS  John Arthur,Swimming,GBR,Men,Gold
WAHLE  Otto,Swimming,AUT,Men,Silver
DROST  Johannes,Swimming,NED,Men,Bronze
HOPPENBERG  Ernst,Swimming,GER,Men,Gold
RUBERL  Karl,Swimming,AUT,Men,Silver
RUBERL  Karl,Swimming,AUT,Men,Bronze
LANE  Frederick C.V.,Swimming,AUS,Men,Gold
HALMAY  Zoltan,Swimming,HUN,Men,Silver
KEMP  Peter,Swimming,GBR,Men,Bronze
LANE  Frederick C.V.,Swimming,AUS,Men,Gold
WAHLE  Otto,Swimming,AUT,Men,Silver
HOUBEN,Swimming,FRA,Men,Bronze
LEUILLIEUX  Jean,Swimming,FRA,Men,Bronze
MARTIN  Louis,Swimming,FRA,Men,Bronze
MERCHEZ  Désiré,Swimming,FRA,Men,Bronze
TARTARA,Swimming,FRA,Men,Bronze
FREY  Julius,Swimming,GER,Men,Gold
HAINLE  Max,Swimming,GER,Men,Gold
HOPPENBERG  Ernst,Swimming,GER,Men,Gold
SCHÖNE  Max,Swimming,GER,Men,Gold
VON PETERSDORFF  Herbert,Swimming,GER,Men,Gold
BERTRAND,Swimming,FRA,Men,Silver
CADET,Swimming,FRA,Men,Silver
HOCHEPIED  Maurice,Swimming,FRA,Men,Silver
HOCHEPIED  Victor,Swimming,FRA,Men,Silver
VERBECKE,Swimming,FRA,Men,Silver
MARTIN  Louis,Swimming,FRA,Men,Bronze
JARVIS  John Arthur,Swimming,GBR,Men,Gold
HALMAY  Zoltan,Swimming,HUN,Men,Silver
LYKKEBERG  Peder,Swimming,DEN,Men,Bronze
DE VENDEVILLE  Charles,Swimming,FRA,Men,Gold
SIX  André,Swimming,FRA,Men,Silver
BURGESS  Thomas,Water polo,FRA,Men,Bronze
COULON,Water polo,FRA,Men,Bronze
DECUYPER  Alphonse,Water polo,FRA,Men,Bronze
DEVENOT,Water polo,FRA,Men,Bronze
FARDELLE,Water polo,FRA,Men,Bronze
FAVIER,Water polo,FRA,Men,Bronze
LAUFRAY  Louis,Water polo,FRA,Men,Bronze
LERICHE,Water polo,FRA,Men,Bronze
MARTIN  Louis,Water polo,FRA,Men,Bronze
MERCHEZ  Désiré,Water polo,FRA,Men,Bronze
PESLIER  Henri,Water polo,FRA,Men,Bronze
PESLOY,Water polo,FRA,Men,Bronze
TREFFEL  Charles,Water polo,FRA,Men,Bronze
VASSEUR  Paul,Water polo,FRA,Men,Bronze
COE  Thomas,Water polo,GBR,Men,Gold
DERBYSHIRE  John Henry,Water polo,GBR,Men,Gold
KEMP  Peter,Water polo,GBR,Men,Gold
LISTER  William,Water polo,GBR,Men,Gold
ROBERTSON  Arthur,Water polo,GBR,Men,Gold
ROBINSON  Eric,Water polo,GBR,Men,Gold
WILKINSON  George,Water polo,GBR,Men,Gold
COHEN  Henri,Water polo,BEL,Men,Silver
DE BACKER  Jean,Water polo,BEL,Men,Silver
DE BEHR  Victor,Water polo,BEL,Men,Silver
FEYAERTS  Fernand,Water polo,BEL,Men,Silver
GREGOIRE  Oscar,Water polo,BEL,Men,Silver
MICHANT  Albert,Water polo,BEL,Men,Silver
SONNEMANS  Victor,Water polo,BEL,Men,Silver
PETIT  Charles Frédéric,Archery,FRA,Men,Bronze
VAN INNIS  Hubert,Archery,BEL,Men,Gold
THIBAUD  Victor,Archery,FRA,Men,Silver
MERCIER  Emile,Archery,FRA,Men,Bronze
MOUGIN  Eugène,Archery,FRA,Men,Gold
HELLE  Henri,Archery,FRA,Men,Silver
PETIT  Charles Frédéric,Archery,FRA,Men,Bronze
VAN INNIS  Hubert,Archery,BEL,Men,Gold
THIBAUD  Victor,Archery,FRA,Men,Silver
FISSEUX  Emile,Archery,FRA,Men,Bronze
HEROUIN  Henri,Archery,FRA,Men,Gold
VAN INNIS  Hubert,Archery,BEL,Men,Silver
FOULON  Emmanuel,Archery,BEL,Men,Gold
DRUART  Jr.,Archery,BEL,Men,Silver
SERRURIER  Auguste,Archery,FRA,Men,Silver
GLINEUX  Louis,Archery,BEL,Men,Bronze
GRUMIAUX  Emile,Archery,FRA,Men,Gold
SERRURIER  Auguste,Archery,FRA,Men,Silver
ROWLEY  Stanley,Athletics,AUS,Men,Bronze
JARVIS  Francis,Athletics,USA,Men,Gold
TEWKSBURY  Walter B. John,Athletics,USA,Men,Silver
MOLONEY  Frederick,Athletics,USA,Men,Bronze
KRAENZLEIN  Alvin,Athletics,USA,Men,Gold
MCLEAN  John,Athletics,USA,Men,Silver
BRAY  John,Athletics,USA,Men,Bronze
BENNETT  Charles,Athletics,GBR,Men,Gold
DELOGE  Henri,Athletics,FRA,Men,Silver
ROWLEY  Stanley,Athletics,AUS,Men,Bronze
TEWKSBURY  Walter B. John,Athletics,USA,Men,Gold
PRITCHARD  Norman,Athletics,IND,Men,Silver
TEWKSBURY  Walter B. John,Athletics,USA,Men,Bronze
KRAENZLEIN  Alvin,Athletics,USA,Men,Gold
PRITCHARD  Norman,Athletics,IND,Men,Silver
CHASTANIE  Jacques,Athletics,FRA,Men,Bronze
ORTON  George,Athletics,CAN,Men,Gold
ROBINSON  Sidney,Athletics,GBR,Men,Silver
ROBINSON  Sidney,Athletics,GBR,Men,Bronze
RIMMER  John,Athletics,GBR,Men,Gold
BENNETT  Charles,Athletics,GBR,Men,Silver
SCHULTZ  Ernst,Athletics,DEN,Men,Bronze
LONG  Maxwell W.Maxey,Athletics,USA,Men,Gold
HOLLAND  William,Athletics,USA,Men,Silver
ORTON  George,Athletics,CAN,Men,Bronze
TEWKSBURY  Walter B. John,Athletics,USA,Men,Gold
TAUZIN  Henri,Athletics,FRA,Men,Silver
BENNETT  Charles,Athletics,ZZX,Men,Gold
RIMMER  John,Athletics,ZZX,Men,Gold
ROBINSON  Sidney,Athletics,ZZX,Men,Gold
ROWLEY  Stanley,Athletics,ZZX,Men,Gold
TYSOE  Alfred,Athletics,ZZX,Men,Gold
CASTANET  André,Athletics,FRA,Men,Silver
CHAMPOUDRY  Michel,Athletics,FRA,Men,Silver
CHASTANIE  Jacques,Athletics,FRA,Men,Silver
DELOGE  Henri,Athletics,FRA,Men,Silver
RAGUENEAU  Gaston,Athletics,FRA,Men,Silver
ROWLEY  Stanley,Athletics,AUS,Men,Bronze
KRAENZLEIN  Alvin,Athletics,USA,Men,Gold
TEWKSBURY  Walter B. John,Athletics,USA,Men,Silver
HALL  David,Athletics,USA,Men,Bronze
TYSOE  Alfred,Athletics,GBR,Men,Gold
CREGAN  John,Athletics,USA,Men,Silver
SHELDON  Richard,Athletics,USA,Men,Bronze
BAUER  Rudolf,Athletics,HUN,Men,Gold
JANDA  Frantisek,Athletics,BOH,Men,Silver
MCCRACKEN  Josiah,Athletics,USA,Men,Bronze
FLANAGAN  John Jesus,Athletics,USA,Men,Gold
HARE  Thomas Truxton,Athletics,USA,Men,Silver
GÖNCZY  Lajos,Athletics,HUN,Men,Bronze
BAXTER  Irving,Athletics,USA,Men,Gold
LEAHY  Patrick Joseph,Athletics,GBR,Men,Silver
SHELDON  Lewis Pendleton,Athletics,USA,Men,Bronze
EWRY  Ray,Athletics,USA,Men,Gold
BAXTER  Irving,Athletics,USA,Men,Silver
LEAHY  Patrick Joseph,Athletics,GBR,Men,Bronze
KRAENZLEIN  Alvin,Athletics,USA,Men,Gold
PRINSTEIN  Meyer,Athletics,USA,Men,Silver
TORCHEBOEUF  Emile,Athletics,FRA,Men,Bronze
EWRY  Ray,Athletics,USA,Men,Gold
BAXTER  Irving,Athletics,USA,Men,Silver
FAST  Ernst,Athletics,SWE,Men,Bronze
THEATO  Michel,Athletics,FRA,Men,Gold
CHAMPION  Emile,Athletics,FRA,Men,Silver
ANDERSEN  Carl Albert,Athletics,NOR,Men,Bronze
BAXTER  Irving,Athletics,USA,Men,Gold
COLKETT  Meredith Bright,Athletics,USA,Men,Silver
GARRETT  Robert,Athletics,USA,Men,Bronze
SHELDON  Richard,Athletics,USA,Men,Gold
MCCRACKEN  Josiah,Athletics,USA,Men,Silver
SHELDON  Lewis Pendleton,Athletics,USA,Men,Bronze
PRINSTEIN  Meyer,Athletics,USA,Men,Gold
CONNOLLY  James,Athletics,USA,Men,Silver
GARRETT  Robert,Athletics,USA,Men,Bronze
EWRY  Ray,Athletics,USA,Men,Gold
BAXTER  Irving,Athletics,USA,Men,Silver
De AMEZOLA y ASPIZUA  José,Basque Pelota,ESP,Men,Gold
VILLOTA BAQUIOLA  Francisco,Basque Pelota,ESP,Men,Gold
DURQUETTY  Maurice,Basque Pelota,FRA,Men,Silver
ETCHEGARAY,Basque Pelota,FRA,Men,Silver
BEACHCROFT  Charles,Cricket,GBR,Men,Gold
BIRKETT  Arthur Ernest,Cricket,GBR,Men,Gold
BOWERMAN  Alfred James,Cricket,GBR,Men,Gold
BUCKLEY  George John,Cricket,GBR,Men,Gold
BURCHELL  Francis Romulus,Cricket,GBR,Men,Gold
CHRISTIAN  Frederick William,Cricket,GBR,Men,Gold
CORNER  Harry Richard,Cricket,GBR,Men,Gold
CUMING  Frederick Wlliam,Cricket,GBR,Men,Gold
DONNE  William Stephen,Cricket,GBR,Men,Gold
POWLESLAND  Alfred James,Cricket,GBR,Men,Gold
SYMES  John,Cricket,GBR,Men,Gold
TOLLER  Montagu Henry,Cricket,GBR,Men,Gold
ANDERSON  W.,Cricket,FRA,Men,Silver
ATTRILL  W.T.,Cricket,FRA,Men,Silver
BRAID  J.,Cricket,FRA,Men,Silver
BROWNING  W.,Cricket,FRA,Men,Silver
HORNE  R.,Cricket,FRA,Men,Silver
JORDAN  T.H.,Cricket,FRA,Men,Silver
MCEVOY  A.,Cricket,FRA,Men,Silver
ROBINSON  D.,Cricket,FRA,Men,Silver
ROQUES  F.,Cricket,FRA,Men,Silver
SCHNEIDAU  A.J.,Cricket,FRA,Men,Silver
TERRY  Henry John,Cricket,FRA,Men,Silver
TOMALIN  P.H.,Cricket,FRA,Men,Silver
AUMOITTE,Croquet,FRA,Men,Gold
JOHIN,Croquet,FRA,Men,Gold
WAYDELICH,Croquet,FRA,Men,Bronze
AUMOITTE,Croquet,FRA,Men,Gold
JOHIN,Croquet,FRA,Men,Silver
SAUTREAU,Croquet,FRA,Men,Bronze
WAYDELICH,Croquet,FRA,Men,Gold
VIGNEROT,Croquet,FRA,Men,Silver
DAUMAIN  .....,Cycling Track,FRA,Men,Bronze
BASTIEN  Louis,Cycling Track,FRA,Men,Gold
HILDEBRAND  Louis,Cycling Track,FRA,Men,Silver
LAKE  John Henry,Cycling Track,USA,Men,Bronze
TAILLANDIER  Georges,Cycling Track,FRA,Men,Gold
SANZ  Fernand,Cycling Track,FRA,Men,Silver
VAN DE POELE  Georges,Jumping,BEL,Men,Bronze
GARDERES  Dominique Maximien,Jumping,FRA,Men,Gold
TRISSINO  Gian Giorgio,Jumping,ITA,Men,Gold
DE CHAMPSAVIN  Louis,Jumping,FRA,Men,Bronze
HAEGEMAN  Aimé,Jumping,BEL,Men,Gold
VAN DE POELE  Georges,Jumping,BEL,Men,Silver
DE BELLEGARDE,Jumping,FRA,Men,Bronze
VAN LANGHENDONCK  Constant,Jumping,BEL,Men,Gold
TRISSINO  Gian Giorgio,Jumping,ITA,Men,Silver
SEE  Léon,Fencing,FRA,Men,Bronze
FONST  Ramon,Fencing,CUB,Men,Gold
PERREE  Louis,Fencing,FRA,Men,Silver
SEE  Léon,Fencing,FRA,Men,Bronze
AYAT  Albert,Fencing,FRA,Men,Gold
FONST  Ramon,Fencing,CUB,Men,Silver
LAURENT  Henri,Fencing,FRA,Men,Bronze
AYAT  Albert,Fencing,FRA,Men,Gold
BOUGNOL  Emile,Fencing,FRA,Men,Silver
BOULENGER  Marcel Jacques,Fencing,FRA,Men,Bronze
COSTE  Emile,Fencing,FRA,Men,Gold
MASSON  Henri,Fencing,FRA,Men,Silver
MIMIAGUE  Jean-Baptiste,Fencing,FRA,Men,Bronze
MERIGNAC  Lucien,Fencing,FRA,Men,Gold
KIRCHHOFFER  Alphonse,Fencing,FRA,Men,Silver
FLESCH  Siegfried,Fencing,AUT,Men,Bronze
DE LA FALAISE  Georges,Fencing,FRA,Men,Gold
THIEBAUT  Léon,Fencing,FRA,Men,Silver
NERALIC  Milan,Fencing,AUT,Men,Bronze
CONTE  Antonio,Fencing,ITA,Men,Gold
SANTELLI  Italo,Fencing,ITA,Men,Silver
DELBECQUE  Albert,Football,BEL,Men,Bronze
KELECOM  R.,Football,BEL,Men,Bronze
LEBOUTTE  Marcel,Football,BEL,Men,Bronze
LONDOT,Football,BEL,Men,Bronze
MOREAU  Ernest,Football,BEL,Men,Bronze
NEEFS  E.,Football,BEL,Men,Bronze
PELGRIMS  Georges,Football,BEL,Men,Bronze
RENIER  Alphonse,Football,BEL,Men,Bronze
SPANNOGHE  E.,Football,BEL,Men,Bronze
THORNTON  Erich,Football,BEL,Men,Bronze
VAN HEUCKELUM,Football,BEL,Men,Bronze
BUCKENHAM  Claude Percy,Football,GBR,Men,Gold
BURRIDGE  T.E.,Football,GBR,Men,Gold
CHALK  Alfred Ernest,Football,GBR,Men,Gold
GROSLING  William Sullivan,Football,GBR,Men,Gold
HASLAM  A.,Football,GBR,Men,Gold
JONES  J.H.,Football,GBR,Men,Gold
NICHOLAS  J.,Football,GBR,Men,Gold
QUASH  William Francis,Football,GBR,Men,Gold
SPACKMAN  F.G.,Football,GBR,Men,Gold
TURNER  R.R.,Football,GBR,Men,Gold
ZEALLEY  James Edward,Football,GBR,Men,Gold
ALLEMANE  Pierre,Football,FRA,Men,Silver
BACH,Football,FRA,Men,Silver
BLOCH  Jean,Football,FRA,Men,Silver
CANELLE  Fernand,Football,FRA,Men,Silver
DUPARC,Football,FRA,Men,Silver
FRAYSSE,Football,FRA,Men,Silver
GAILLARD,Football,FRA,Men,Silver
GARNIER  René,Football,FRA,Men,Silver
GRANDJEAN,Football,FRA,Men,Silver
HUTEAU,Football,FRA,Men,Silver
LAMBERT,Football,FRA,Men,Silver
MACAIRE,Football,FRA,Men,Silver
PELTIER,Football,FRA,Men,Silver
ROBERTSON  David Donaldson,Golf,GBR,Men,Bronze
SANDS  Charles Edward,Golf,USA,Men,Gold
RUTHERFORD  Walter,Golf,GBR,Men,Silver
PRATT  Daria,Golf,USA,Women,Bronze
ABBOTT  Margaret Ives,Golf,USA,Women,Gold
WHITTIER  Pauline,Golf,USA,Women,Silver
DEMANET  Lucien,Artistic G.,FRA,Men,Bronze
SANDRAS  Gustave,Artistic G.,FRA,Men,Gold
BAS  Noël,Artistic G.,FRA,Men,Silver
BOUSSOD  Jean,Polo,ZZX,Men,Bronze
DUC DE BISACCIA  Louis,Polo,ZZX,Men,Bronze
FAUQUET LEMAITRE  A.,Polo,ZZX,Men,Bronze
RAOUL-DUVAL  Maurice,Polo,ZZX,Men,Bronze
DALY  Dennis,Polo,ZZX,Men,Gold
KEENE  Foxhall Parker,Polo,ZZX,Men,Gold
MACKEY  Frank Jay,Polo,ZZX,Men,Gold
RAWLINSON  Alfred,Polo,ZZX,Men,Gold
BUCKMASTER  Walter Selby,Polo,ZZX,Men,Silver
COMTE DE MADRE  José Pierre M.J.,Polo,ZZX,Men,Silver
FREAKE  Frederick Maitland,Polo,ZZX,Men,Silver
MCCREERY  Walter Adolph,Polo,ZZX,Men,Silver
BRANDT  Francois Antoine,Rowing,NED,Men,Bronze
BROCKMANN  Hermanus Gerardus,Rowing,NED,Men,Bronze
KLEIN  Roelof,Rowing,NED,Men,Bronze
LEEGSTRA  Ruud Gerbens,Rowing,NED,Men,Bronze
MIDDELBERG  Walter,Rowing,NED,Men,Bronze
OFFERHAUS  Hendrik Karel,Rowing,NED,Men,Bronze
THIJSSEN  Walter,Rowing,NED,Men,Bronze
TROMP  Henricus,Rowing,NED,Men,Bronze
VAN DIJK  Johannes Wilhelmus Maria,Rowing,NED,Men,Bronze
ABELL  Louis,Rowing,USA,Men,Gold
CARR  William,Rowing,USA,Men,Gold
DEBAECKE  Harry,Rowing,USA,Men,Gold
EXLEY  John,Rowing,USA,Men,Gold
GEIGER  John,Rowing,USA,Men,Gold
HEDLEY  Edward,Rowing,USA,Men,Gold
JUVENAL  James,Rowing,USA,Men,Gold
LOCKWOOD  Roscoe,Rowing,USA,Men,Gold
MARSH  Edward,Rowing,USA,Men,Gold
BRUGGEMAN  Prospère,Rowing,BEL,Men,Silver
DE BISSCHOP  Jules,Rowing,BEL,Men,Silver
DE COCK  Oscar,Rowing,BEL,Men,Silver
DE SOMVILLE  Oscar Charles,Rowing,BEL,Men,Silver
HEMELSOET  Maurice,Rowing,BEL,Men,Silver
ODBERG  Frank,Rowing,BEL,Men,Silver
VAN CROMBRUGGHE  Marcel Lucien,Rowing,BEL,Men,Silver
VAN LANDEGHEM  Alfred,Rowing,BEL,Men,Silver
VERDONCK  Maurice,Rowing,BEL,Men,Silver
CARSTENS  Wilhelm,Rowing,GER,Men,Bronze
FELLE  Ernst,Rowing,GER,Men,Bronze
FICKEISEN  Otto,Rowing,GER,Men,Bronze
KÖRNER  Julius,Rowing,GER,Men,Bronze
KRÖWERATH  Franz,Rowing,GER,Men,Bronze
LEHLE  Carl,Rowing,GER,Men,Bronze
MÖLLER  Adolf,Rowing,GER,Men,Bronze
MOTHS  Gustav Adolf,Rowing,GER,Men,Bronze
RÜSTER  Hugo,Rowing,GER,Men,Bronze
WILKER  Hermann,Rowing,GER,Men,Bronze
BOUCKAERT  Henri,Rowing,FRA,Men,Gold
CAU  Jean,Rowing,FRA,Men,Gold
CHARLOT,Rowing,FRA,Men,Gold
DELCHAMBRE  Emile,Rowing,FRA,Men,Gold
GOSSLER  Carl Heinrich,Rowing,GER,Men,Gold
GOSSLER  Gustav Ludwig,Rowing,GER,Men,Gold
GOSSLER  Oscar,Rowing,GER,Men,Gold
HAZEBROUCK  Henri,Rowing,FRA,Men,Gold
KATZENSTEIN  Walther,Rowing,GER,Men,Gold
TIETGENS  Waldemar,Rowing,GER,Men,Gold
BROCKMANN  Hermanus Gerardus,Rowing,NED,Men,Silver
HIEBENDAAI  Coenraad Christiaan,Rowing,NED,Men,Silver
LOTSY  Gerhard Oswald,Rowing,NED,Men,Silver
LOTSY  Paulus Jan,Rowing,NED,Men,Silver
LUMPP  Georges,Rowing,FRA,Men,Silver
PERRIN  Charles,Rowing,FRA,Men,Silver
SOUBEYRAN  Daniel,Rowing,FRA,Men,Silver
TERWOGT  Johannes Hester Lambertus,Rowing,NED,Men,Silver
WEGELIN  Emile,Rowing,FRA,Men,Silver
DELTOUR  Carlos,Rowing,FRA,Men,Bronze
PAOLI  Raoul,Rowing,FRA,Men,Bronze
VEDRENNE  Antoine Erneste,Rowing,FRA,Men,Bronze
BRANDT  Francois Antoine,Rowing,ZZX,Men,Gold
